,Diversity,q
278,1.7792718522509166e-05,0.6
279,1.4879137535922182e-05,0.6
280,2.0599922611234763e-05,0.6
281,7.886322316172808e-06,0.6
282,1.2326093646776784e-05,0.6
283,8.073199186505659e-06,0.6
284,1.3225028033451006e-05,0.6
285,7.322781600215863e-06,0.6
286,8.654879249489021e-06,0.6
287,2.117458671233605e-05,0.6
288,1.6324920910198432e-05,0.6
289,1.60136034126735e-05,0.6
290,1.6168248448230452e-05,0.6
291,1.6693374932953734e-05,0.6
292,2.5990720776869047e-05,0.6
293,1.853386584326195e-05,0.6
294,1.1776738061332979e-05,0.6
295,1.386283117355758e-05,0.6
296,1.2167274210290685e-05,0.6
297,1.3730041207600983e-05,0.6
298,1.0776383119783634e-05,0.6
299,8.53162498875585e-06,0.6
300,8.493747816980083e-06,0.4
301,2.1569244251696244e-05,0.4
302,4.1762337227470454e-05,0.4
303,3.84818772632006e-05,0.4
304,1.67556992577154e-05,0.4
305,3.849879380414892e-05,0.4
306,2.3652475938433846e-05,0.4
307,3.741677667152026e-05,0.4
308,9.873930111229375e-05,0.4
309,3.813015541788079e-05,0.4
310,1.8044497417157728e-05,0.4
311,2.1382267637128852e-05,0.4
312,5.688584809047932e-05,0.4
313,3.12213290193275e-05,0.4
314,3.219417938819836e-05,0.4
315,1.6405714001055972e-05,0.4
316,7.886743570712621e-05,0.4
317,1.984557835477331e-05,0.4
318,5.443020310875267e-05,0.4
319,4.277645867381193e-05,0.4
320,3.437958616668383e-05,0.4
321,3.1755718532348126e-05,0.4
322,5.0269575195679006e-05,0.4
323,0.00011151169065300456,0.4
324,3.9859322373987354e-05,0.4
325,1.9240033577618142e-05,0.4
326,8.36837066628162e-05,0.4
327,2.3187829966711077e-05,0.4
328,2.5802388877922293e-05,0.4
329,6.486812197566754e-05,0.4
330,4.320646634181465e-05,0.4
331,1.1630166302153953e-05,0.4
332,5.6266856109435045e-05,0.4
333,2.2229386068231224e-05,0.4
334,1.8149790402168864e-05,0.4
335,1.9610868385131768e-05,0.4
336,4.7191493922611445e-05,0.4
337,6.193822314013223e-05,0.4
338,4.195741310725658e-05,0.4
339,3.04431636472633e-05,0.4
340,6.106408355619207e-05,0.4
341,3.243158639856719e-05,0.4
342,3.1300598866123434e-05,0.4
343,1.6126202998000697e-05,0.4
344,3.015572948414541e-05,0.4
345,7.634694713536103e-05,0.4
346,9.473236198860832e-05,0.4
347,1.3000363478872974e-05,0.4
348,3.788555918848942e-05,0.4
