,Unnamed: 0,Diversity,Density
393,393,0.0004145532204985,0.07
394,394,0.0003102970115267,0.07
395,395,0.0003159560360728,0.07
396,396,0.0004372035154225,0.07
397,397,0.0004163882089056,0.07
398,398,0.0003268222132285,0.07
399,399,0.0007955854060293,0.07
400,400,0.0004646685224277,0.06
401,401,0.0013338974333658,0.06
402,402,0.0007580063028737,0.06
403,403,0.0006655514554173,0.06
404,404,0.0005461253810043,0.06
405,405,0.0004246437283461,0.06
406,406,0.0011778541706175,0.06
407,407,0.0003505826007549,0.06
408,408,0.0005416290414958,0.06
409,409,0.0007136412617592,0.06
410,410,0.0008124048873312,0.06
411,411,0.0009444650998543,0.06
412,412,0.0002583745971801,0.06
413,413,0.0004887777467907,0.06
414,414,0.0007389921278524,0.06
415,415,0.0012395527785003,0.06
416,416,0.0003455723748196,0.06
417,417,0.0004640369059336,0.06
418,418,0.000612704682538,0.06
419,419,0.0004176553524462,0.06
420,420,0.0011643637498795,0.06
421,421,0.0006908039699231,0.06
422,422,0.0009005271549817,0.06
423,423,0.0016629395948142,0.06
424,424,0.0003189204164714,0.06
425,425,0.0003463349681876,0.06
426,426,0.000522076401705,0.06
427,427,0.001506596764158,0.06
428,428,0.0009139966199111,0.06
429,429,0.0002655333221752,0.06
430,430,0.000686673199071,0.06
431,431,0.0007368971413253,0.06
432,432,0.0006658903082069,0.06
433,433,0.000550208189491,0.06
434,434,0.0005436889481238,0.06
435,435,0.0002166439598774,0.06
436,436,0.0006893041859588,0.06
437,437,0.0005430602936576,0.06
438,438,0.0004652080490579,0.06
439,439,0.0001614152733412,0.06
440,440,0.0010098805805357,0.06
441,441,0.0005152325021624,0.06
442,442,0.0008278278150425,0.06
443,443,0.0006174071638661,0.06
444,444,0.0004272927758772,0.06
445,445,0.001153840699099,0.06
446,446,0.0008538552082684,0.06
447,447,0.000660521503317,0.06
448,448,0.0005422180922468,0.06
449,449,0.0006577201551493,0.06
450,450,0.0007048048854374,0.06
451,451,9.824522874101682e-05,0.06
452,452,0.0013362437753549,0.06
453,453,0.0011692468592033,0.06
454,454,0.0010694323770026,0.06
455,455,0.0003579779845049,0.06
456,456,0.0002760005848713,0.06
457,457,0.0004864201101984,0.06
458,458,0.000406635171744,0.06
459,459,0.0006282273918682,0.06
460,460,0.0004264316710111,0.06
461,461,0.0004127799180053,0.06
462,462,0.0007552951092459,0.06
463,463,0.0003297349806843,0.06
464,464,0.0008537401086851,0.06
465,465,0.0009886070775173,0.06
466,466,0.0005086781754771,0.06
467,467,0.0006434293834413,0.06
468,468,0.0005648288728091,0.06
469,469,0.0003475319799738,0.06
470,470,0.0003256388242693,0.06
471,471,0.0006117885270773,0.06
472,472,0.000796979839808,0.06
473,473,0.0006230892668102,0.06
474,474,0.0009077229252762,0.06
475,475,0.0008832823579382,0.06
476,476,0.000375378905425,0.06
477,477,0.0003596285084664,0.06
478,478,0.000472773441111,0.06
479,479,0.0014422587282581,0.06
480,480,0.0002680861072754,0.06
481,481,0.0008934753106566,0.06
482,482,0.0004375242991906,0.06
483,483,0.0009304912269318,0.06
484,484,0.0003834614521871,0.06
485,485,0.0004334151205657,0.06
486,486,0.0013717137506648,0.06
487,487,0.000705783033065,0.06
488,488,0.0004775507458861,0.06
489,489,0.001130589588536,0.06
490,490,0.0014697254034497,0.06
491,491,0.0004346423639323,0.06
492,492,0.00031463851773,0.06
493,493,0.0005896543082792,0.06
494,494,0.0004387943234985,0.06
495,495,0.0006692391261393,0.06
496,496,0.0008808151276796,0.06
497,497,0.0005116848769316,0.06
498,498,0.0009300409674545,0.06
499,499,0.001150500262819,0.06
500,500,0.0012811976807826,0.05
501,501,0.0047413587450491,0.05
502,502,0.0017198515439058,0.05
503,503,0.0026125580975883,0.05
504,504,0.0023204871937642,0.05
505,505,0.0036066104963575,0.05
506,506,0.0014851703679283,0.05
507,507,0.0020879469369773,0.05
508,508,0.0026008561287363,0.05
509,509,0.0007365744527937,0.05
510,510,0.0005687393892376,0.05
511,511,0.0021219499009399,0.05
512,512,0.0016851160038777,0.05
513,513,0.0009757790583853,0.05
514,514,0.0011008727100063,0.05
515,515,0.0008063207557482,0.05
516,516,0.0026279634349862,0.05
517,517,0.0020814241214225,0.05
518,518,0.0005644265426572,0.05
519,519,0.0010988178477189,0.05
520,520,0.0010673870203355,0.05
521,521,0.0018043544543486,0.05
522,522,0.0011479832577762,0.05
523,523,0.0011814391049075,0.05
524,524,0.0012653023938623,0.05
525,525,0.0017508342856202,0.05
526,526,0.0015171310762195,0.05
527,527,0.0016392381765989,0.05
528,528,0.0010584900031381,0.05
529,529,0.0007409701378299,0.05
530,530,0.0029585410091432,0.05
531,531,0.0009395075230745,0.05
532,532,0.0012235761680939,0.05
533,533,0.0011785825989998,0.05
