,Diversity,Density
287,4.302228336581475e-06,0.4
288,2.316630270998646e-06,0.4
289,3.5578762244715386e-06,0.4
290,5.130123828664513e-06,0.4
291,5.081266067019072e-06,0.4
292,2.7823944216275775e-06,0.4
293,3.98857851673077e-06,0.4
294,1.9242895412270912e-06,0.4
295,2.526572275997768e-06,0.4
296,3.5844039896619667e-06,0.4
297,4.927324862713777e-06,0.4
298,4.3167349126581295e-06,0.4
299,4.084642479855783e-06,0.4
300,2.8404678302013716e-06,0.5
301,3.3572787341184704e-06,0.5
302,2.534355401680704e-06,0.5
303,1.4672428889240772e-06,0.5
304,3.5820814224985544e-06,0.5
305,2.1625261470004533e-06,0.5
306,2.2663563300796903e-06,0.5
307,2.02418615056873e-06,0.5
308,4.396480382861126e-06,0.5
309,2.8058848762863483e-06,0.5
310,2.167314343748433e-06,0.5
311,2.58758793050089e-06,0.5
312,2.064390942934999e-06,0.5
313,4.550368868757467e-06,0.5
314,2.871337586848447e-06,0.5
315,2.9862593238317796e-06,0.5
316,2.1309999101038898e-06,0.5
317,1.8743543222196347e-06,0.5
318,3.4227641393367897e-06,0.5
319,2.0056040212656465e-06,0.5
320,2.267800748689158e-06,0.5
321,1.9780105893312404e-06,0.5
322,2.060832860015226e-06,0.5
323,2.2563594413964684e-06,0.5
324,2.7860713071691915e-06,0.5
325,2.2129445832389646e-06,0.5
326,2.6336573542486833e-06,0.5
327,1.6275204584694205e-06,0.5
328,3.467701894966231e-06,0.5
329,1.5958906765259104e-06,0.5
330,2.7543958569696076e-06,0.5
331,2.2286094958468876e-06,0.5
332,3.016996948447035e-06,0.5
333,2.2337081507353445e-06,0.5
334,2.5020548919740456e-06,0.5
335,2.318295926816246e-06,0.5
336,2.282867062236616e-06,0.5
337,1.5574763872668005e-06,0.5
338,3.2310135659691277e-06,0.5
339,2.8743559196293347e-06,0.5
340,2.683726349814054e-06,0.5
341,2.0649497473406572e-06,0.5
342,2.68582473131396e-06,0.5
343,2.147058709912769e-06,0.5
344,3.397882121185836e-06,0.5
345,4.049640513555167e-06,0.5
346,1.976019273291192e-06,0.5
347,1.9672798621456513e-06,0.5
348,2.0933687828063247e-06,0.5
349,2.1692904002246247e-06,0.5
350,2.347095568381279e-06,0.5
351,2.2869304849544068e-06,0.5
352,3.0186172635277204e-06,0.5
353,2.465231014691214e-06,0.5
354,1.9001936488824926e-06,0.5
355,2.628650679278067e-06,0.5
356,2.1367906102807025e-06,0.5
357,1.7912246302153982e-06,0.5
358,2.3772409437389438e-06,0.5
359,2.060112186263352e-06,0.5
360,3.2210014511476993e-06,0.5
361,2.882126165883331e-06,0.5
362,3.0263437183509606e-06,0.5
363,3.483095136702302e-06,0.5
364,1.6574315001390556e-06,0.5
365,2.5253339590874543e-06,0.5
366,2.088076385485412e-06,0.5
367,2.258453734497398e-06,0.5
368,2.8633264723317325e-06,0.5
369,2.881635534867116e-06,0.5
370,1.4012827115701113e-06,0.5
371,2.7021522879593893e-06,0.5
372,3.110309587364447e-06,0.5
373,2.419790721087249e-06,0.5
374,2.5160635019604477e-06,0.5
375,2.251990299806356e-06,0.5
376,4.283767941078644e-06,0.5
377,3.099535855464099e-06,0.5
378,1.444866817922095e-06,0.5
379,2.5538270126408903e-06,0.5
380,2.327693277625519e-06,0.5
381,2.572143771457138e-06,0.5
382,3.956755309295245e-06,0.5
383,1.8393344657274589e-06,0.5
384,2.673526880319604e-06,0.5
385,2.7344523057475632e-06,0.5
386,3.258422197611015e-06,0.5
387,3.1465278387284757e-06,0.5
388,2.7748781262460266e-06,0.5
389,1.5953056880484015e-06,0.5
390,2.1209851604049517e-06,0.5
391,2.0750005639611428e-06,0.5
392,2.5845011945855012e-06,0.5
393,2.437883890672318e-06,0.5
394,2.355723138699201e-06,0.5
395,1.8404278432289188e-06,0.5
396,2.9187322605834954e-06,0.5
397,2.6248776391777663e-06,0.5
398,2.9463799012545195e-06,0.5
399,3.3713080498862646e-06,0.5
400,2.1610422223654233e-06,0.6
401,1.4094947968278426e-06,0.6
402,2.1410935499429704e-06,0.6
403,1.9234044206670804e-06,0.6
404,2.283064150871661e-06,0.6
405,2.4463851830453177e-06,0.6
406,1.9456277732377248e-06,0.6
407,2.4924696010397813e-06,0.6
408,2.9057386451443843e-06,0.6
409,2.3435306221773954e-06,0.6
