,Diversity,Density
94,9.815629576171605e-06,0.2
95,1.106466227836618e-05,0.2
96,2.243942366590776e-05,0.2
97,1.7602330223631255e-05,0.2
98,1.356101477528831e-05,0.2
99,1.3052345065611286e-05,0.2
100,6.201430872204946e-06,0.3
101,9.861235453311756e-06,0.3
102,5.924532158308702e-06,0.3
103,1.2248763555584149e-05,0.3
104,9.532230415307263e-06,0.3
105,2.834795002928209e-06,0.3
106,6.878252618428672e-06,0.3
107,9.727693360300635e-06,0.3
108,5.158187564955826e-06,0.3
109,7.639998161387443e-06,0.3
110,7.267301576241418e-06,0.3
111,1.0886347271436891e-05,0.3
112,6.7141461952726605e-06,0.3
113,1.1825090464496486e-05,0.3
114,8.698663749822292e-06,0.3
115,6.352233365939363e-06,0.3
116,6.647877267626442e-06,0.3
117,1.022932327989236e-05,0.3
118,1.1754966209780815e-05,0.3
119,4.548809668150887e-06,0.3
120,4.646708812666362e-06,0.3
121,5.353531183060795e-06,0.3
122,7.695549397279208e-06,0.3
123,1.1031595388184415e-05,0.3
124,4.907590084626152e-06,0.3
125,6.617665805128894e-06,0.3
126,4.128691151241246e-06,0.3
127,6.978294910213461e-06,0.3
128,9.238825306530521e-06,0.3
129,1.5522217305250063e-05,0.3
130,5.965982946935567e-06,0.3
131,6.0823323134546305e-06,0.3
132,6.647044037151881e-06,0.3
133,7.007490996231734e-06,0.3
134,1.2038622591689743e-05,0.3
135,7.021573857959014e-06,0.3
136,5.997908019026925e-06,0.3
137,9.076584398660915e-06,0.3
138,7.014984652475507e-06,0.3
139,1.045361317070973e-05,0.3
140,4.97815230469416e-06,0.3
141,7.634938438371916e-06,0.3
142,1.0611655501383591e-05,0.3
143,6.842291206286533e-06,0.3
144,7.369908809489876e-06,0.3
145,1.1021807730755924e-05,0.3
146,8.108550633382344e-06,0.3
147,8.367771372254072e-06,0.3
148,2.879597976669312e-06,0.3
149,6.30563014557574e-06,0.3
150,7.165673979465565e-06,0.3
151,8.443846377189917e-06,0.3
152,1.212622266956736e-05,0.3
153,6.014722728525074e-06,0.3
154,4.2477419005422645e-06,0.3
155,5.538480898244337e-06,0.3
156,6.044242631474267e-06,0.3
157,7.630160025206336e-06,0.3
158,4.383670465363266e-06,0.3
159,1.0560192355375708e-05,0.3
160,7.511226840455057e-06,0.3
161,5.359649448207949e-06,0.3
162,5.254302480629833e-06,0.3
163,6.282409287080927e-06,0.3
164,7.974315991488355e-06,0.3
165,7.906877745006385e-06,0.3
166,6.986432166685327e-06,0.3
167,1.311787508015428e-05,0.3
168,8.054056809583956e-06,0.3
169,4.359331263582247e-06,0.3
170,4.755565208066655e-06,0.3
171,6.8654601519914145e-06,0.3
172,1.0475553023498235e-05,0.3
173,8.097903722606078e-06,0.3
174,4.122084746704002e-06,0.3
175,8.367188663500924e-06,0.3
176,4.932539826757316e-06,0.3
177,1.1609029193347157e-05,0.3
178,1.451045364054598e-05,0.3
179,1.221171456961315e-05,0.3
180,7.59822951252059e-06,0.3
181,6.6310974874475026e-06,0.3
182,5.5426144093744175e-06,0.3
183,4.076133529112168e-06,0.3
184,1.0714470409985014e-05,0.3
185,5.4997373655251324e-06,0.3
186,6.703943237865795e-06,0.3
187,6.243437140224148e-06,0.3
188,1.0482597309792468e-05,0.3
189,6.402244250431658e-06,0.3
190,6.566018374153819e-06,0.3
191,6.4196850652323454e-06,0.3
192,8.213796084865744e-06,0.3
193,3.6111846841238724e-06,0.3
194,7.54039494397826e-06,0.3
195,7.725793388875334e-06,0.3
196,5.297924468764158e-06,0.3
197,6.2758024410902505e-06,0.3
198,7.888739756603128e-06,0.3
199,9.374539990524533e-06,0.3
200,4.296552680161308e-06,0.4
201,4.591768887235111e-06,0.4
202,3.6665375757737028e-06,0.4
203,4.35886480040472e-06,0.4
204,3.831230980100893e-06,0.4
205,3.5184518971893476e-06,0.4
206,3.0077458567154925e-06,0.4
207,4.895837571036827e-06,0.4
208,5.51870552255919e-06,0.4
209,2.3790850334469535e-06,0.4
210,6.931896993365406e-06,0.4
211,4.498800369725654e-06,0.4
212,3.6810375560316886e-06,0.4
213,2.1462524472308284e-06,0.4
214,2.6484711414749622e-06,0.4
215,5.234460653557999e-06,0.4
216,4.628296235982381e-06,0.4
217,4.475355553665105e-06,0.4
218,3.6900981753687116e-06,0.4
219,2.5129211742838467e-06,0.4
220,4.124163503223539e-06,0.4
221,4.546071371145727e-06,0.4
222,2.6839425658550586e-06,0.4
223,4.898870953108554e-06,0.4
224,3.2561068880435685e-06,0.4
225,5.236465520803365e-06,0.4
226,3.395058267890816e-06,0.4
227,4.111628815592107e-06,0.4
228,3.9114973513927175e-06,0.4
229,3.010361476026843e-06,0.4
230,2.7818627803481992e-06,0.4
231,4.501342590129706e-06,0.4
232,4.110065687498491e-06,0.4
